year,month,yearmonth,city,全,男,女,zero_twelve,全,男,女,twelve_seventeen,全,男,女,twenty,全,男,女,sixty_five
106,6,10606,總計,"2,660,616","1,383,209","1,277,407",11.3,"1,498,575","782,813","715,762",6.36,"19,033,091","9,364,535","9,668,556",80.81,"3,184,199","1,465,691","1,718,508",13.52
106,6,10606,新北市,"430,240","223,329","206,911",10.8,"241,387","125,834","115,553",6.06,"3,250,227","1,571,896","1,678,331",81.61,"483,602","221,984","261,618",12.14
106,6,10606,臺北市,"326,201","169,100","157,101",12.13,"149,947","78,358","71,589",5.57,"2,181,903","1,022,124","1,159,779",81.12,"428,648","192,637","236,011",15.94
106,6,10606,桃園市,"283,010","147,356","135,654",13.06,"155,247","81,232","74,015",7.16,"1,694,407","833,842","860,565",78.17,"227,931","106,821","121,110",10.52
106,6,10606,臺中市,"350,113","181,902","168,211",12.61,"192,459","99,847","92,612",6.93,"2,188,171","1,064,240","1,123,931",78.81,"310,710","143,484","167,226",11.19
106,6,10606,臺南市,"201,008","104,382","96,626",10.66,"113,614","59,313","54,301",6.02,"1,543,917","764,211","779,706",81.84,"265,121","121,510","143,611",14.05
106,6,10606,高雄市,"289,098","149,936","139,162",10.41,"170,148","88,548","81,600",6.12,"2,276,894","1,117,277","1,159,617",81.96,"383,659","177,181","206,478",13.81
106,6,10606,臺灣省,"767,736","400,327","367,409",10.78,"469,521","246,431","223,090",6.59,"5,771,717","2,927,587","2,844,130",81.03,"1,066,973","493,609","573,364",14.98
106,6,10606,宜蘭縣,"47,390","24,640","22,750",10.37,"29,255","15,267","13,988",6.4,"372,847","187,462","185,385",81.57,"69,013","32,060","36,953",15.1
106,6,10606,新竹縣,"79,051","41,217","37,834",14.38,"39,669","20,822","18,847",7.22,"422,547","214,517","208,030",76.89,"65,305","31,342","33,963",11.88
106,6,10606,苗栗縣,"62,939","32,756","30,183",11.31,"36,297","19,294","17,003",6.52,"448,650","230,505","218,145",80.65,"84,034","39,943","44,091",15.11
106,6,10606,彰化縣,"145,667","76,167","69,500",11.34,"87,372","45,990","41,382",6.8,"1,030,275","522,051","508,224",80.21,"185,907","85,557","100,350",14.47
106,6,10606,南投縣,"47,280","24,528","22,752",9.39,"32,446","16,899","15,547",6.45,"415,248","212,122","203,126",82.51,"81,566","38,135","43,431",16.21
106,6,10606,雲林縣,"68,860","35,914","32,946",9.94,"46,004","24,197","21,807",6.64,"566,735","293,608","273,127",81.83,"119,761","54,463","65,298",17.29
106,6,10606,嘉義縣,"41,825","21,861","19,964",8.15,"31,469","16,567","14,902",6.13,"430,895","223,911","206,984",83.98,"93,296","42,711","50,585",18.18
106,6,10606,屏東縣,"76,672","40,087","36,585",9.21,"51,317","26,786","24,531",6.16,"690,877","351,930","338,947",82.99,"129,079","60,875","68,204",15.51
106,6,10606,臺東縣,"22,448","11,761","10,687",10.2,"14,250","7,493","6,757",6.47,"179,824","92,684","87,140",81.71,"33,598","15,377","18,221",15.27
106,6,10606,花蓮縣,"34,261","17,885","16,376",10.38,"20,831","10,863","9,968",6.31,"269,561","136,133","133,428",81.69,"49,484","22,928","26,556",15
106,6,10606,澎湖縣,"9,652","5,058","4,594",9.33,"5,651","2,980","2,671",5.46,"86,007","44,119","41,888",83.17,"15,846","7,335","8,511",15.32
106,6,10606,基隆市,"33,601","17,363","16,238",9.04,"22,532","11,839","10,693",6.06,"309,749","153,957","155,792",83.29,"53,550","24,380","29,170",14.4
106,6,10606,新竹市,"66,153","34,417","31,736",15.06,"31,957","16,624","15,333",7.27,"335,516","163,011","172,505",76.38,"49,406","22,083","27,323",11.25
106,6,10606,嘉義市,"31,937","16,673","15,264",11.84,"20,471","10,810","9,661",7.59,"212,986","101,577","111,409",78.97,"37,128","16,420","20,708",13.77
106,6,10606,福建省,"13,210","6,877","6,333",8.91,"6,252","3,250","3,002",4.22,"125,855","63,358","62,497",84.88,"17,555","8,465","9,090",11.84
106,6,10606,金門縣,"11,815","6,148","5,667",8.72,"5,624","2,894","2,730",4.15,"115,387","57,323","58,064",85.12,"16,231","7,763","8,468",11.97
106,6,10606,連江縣,"1,395",729,666,10.97,628,356,272,4.94,"10,468","6,035","4,433",82.32,"1,324",702,622,10.41
