NO,year,season,year_season,city,total_population,total_population_increase,births,deaths,natural_increase_rate,immigrants,emigrants,social_increase_rate,total_increase_rate
1,96,1,961,雲林縣,727446,-1044,1674,1746,-0.1,5995,6967,-1.34,-1.44
2,96,2,962,雲林縣,726868,-578,1452,1532,-0.11,7732,8230,-0.69,-0.8
3,96,3,963,雲林縣,725949,-919,1566,1550,0.02,6609,7544,-1.29,-1.27
4,96,4,964,雲林縣,725672,-277,1808,1672,0.19,4937,5350,-0.57,-0.38
5,97,1,971,雲林縣,725378,-294,1621,1754,-0.18,6386,6547,-0.22,-0.4
6,97,2,972,雲林縣,725237,-141,1502,1544,-0.06,8205,8304,-0.14,-0.2
7,97,3,973,雲林縣,724334,-903,1465,1551,-0.12,6599,7416,-1.13,-1.25
8,97,4,974,雲林縣,723674,-660,1780,1627,0.21,6458,7271,-1.12,-0.91
9,98,1,981,雲林縣,723274,-400,1515,1714,-0.28,7389,7590,-0.28,-0.56
10,98,2,982,雲林縣,723065,-209,1252,1559,-0.42,7438,7340,0.14,-0.28
11,98,3,983,雲林縣,722607,-458,1492,1564,-0.1,6710,7096,-0.53,-0.63
12,98,4,984,雲林縣,722795,188,1707,1609,0.14,6248,6158,0.12,0.26
13,99,1,991,雲林縣,721784,-1011,1252,1663,-0.57,6644,7244,-0.83,-1.4
14,99,2,992,雲林縣,718671,-3113,1184,1479,-0.41,6109,8927,-3.92,-4.33
15,99,3,993,雲林縣,718054,-617,1246,1555,-0.43,7741,8049,-0.43,-0.86
16,99,4,994,雲林縣,717653,-401,1375,1582,-0.29,5563,5757,-0.27,-0.56
17,100,1,1001,雲林縣,716457,3102,1299,1729,-0.6,5717,2185,4.93,4.33
18,100,2,1002,雲林縣,715288,3360,1334,1656,-0.45,6271,2589,5.15,4.7
19,100,3,1003,雲林縣,714245,3535,1333,1498,-0.23,5980,2280,5.18,4.95
20,100,4,1004,雲林縣,713556,-689,1476,1595,-0.17,4806,5376,-0.8,-0.97
21,101,1,1011,雲林縣,712747,-809,1414,1865,-0.63,6096,6454,-0.5,-1.14
22,101,2,1012,雲林縣,711887,-1669,2853,3484,-0.89,12352,13390,-1.46,-2.34
23,101,3,1013,雲林縣,711041,-2515,4297,5056,-1.07,18462,20218,-2.47,-3.53
24,101,4,1014,雲林縣,710991,-50,1870,1624,0.35,4735,5031,-0.42,-0.07
25,102,1,1021,雲林縣,710269,-722,1413,1758,-0.49,5363,5740,-0.53,-1.02
26,102,2,1022,雲林縣,709491,-778,1138,1630,-0.69,6228,6514,-0.4,-1.09
27,102,3,1023,雲林縣,708574,-917,1222,1736,-0.73,5744,6147,-0.57,-1.3
28,102,4,1024,雲林縣,707792,-782,1353,1701,-0.49,4919,5353,-0.61,-1.1
29,103,1,1031,雲林縣,706958,-834,1217,1922,-1,5751,5880,-0.18,-1.18
30,103,2,1032,雲林縣,707282,2622,1278,1790,-0.72,8151,5017,4.43,3.71
31,103,3,1033,雲林縣,706688,-594,1370,1732,-0.51,5756,5988,-0.33,-0.84
32,103,4,1034,雲林縣,705356,-1332,1473,1671,-0.28,4661,5795,-1.61,-1.89
33,104,1,1041,雲林縣,703407,-1949,1276,1789,-0.73,5264,6700,-2.04,-2.77
34,104,2,1042,雲林縣,701898,-1509,1113,1672,-0.8,5773,6723,-1.35,-2.15
35,104,3,1043,雲林縣,700437,-1461,1215,1681,-0.66,5453,6448,-1.42,-2.08
36,104,4,1044,雲林縣,699633,-804,1382,1724,-0.49,4112,4574,-0.66,-1.15
37,105,1,1051,雲林縣,698187,-1446,1176,1969,-1.13,4821,5474,-0.93,-2.06
38,105,2,1052,雲林縣,697105,-1082,1130,1723,-0.85,5266,5755,-0.7,-1.55
39,105,3,1053,雲林縣,695925,-1180,1145,1693,-0.79,4952,5584,-0.91,-1.7
40,105,4,1054,雲林縣,694873,-1052,1323,1847,-0.75,4236,4764,-0.76,-1.51
